date,sales,digital,radio,tv_k,tv,year,month,quarter,qtr,gdp_change,cpi_yoy,ca_unemployment,consumer_sentiment,ecommerce_pct,covid_lockdown,covid_relaxation,month_sin,month_cos,trend,total_spend,digital_adstock,radio_adstock,tv_adstock,digital_sat,radio_sat,tv_sat,c_dig,c_rad,c_tv,c_base
2021-03-01,342.0,102.05,16.45,23.0,0.023,2021,3,1,2021 - Q1,0.063,2.6,8.1,84.9,15.6,0,0,1.0,6.123233995736766e-17,14,118.523,107.15566461165947,19.524699664062286,0.13400543603291756,4.683571528389044,3.0216290225426286,0.12575599897389217,455.3139713603512,251.12621204685541,-119.98318845920595,-600.0765553063096
2021-04-01,403.2,97.7,23.85,26.45,0.026449999999999998,2021,4,2,2021 - Q2,0.07,4.2,7.9,88.3,14.5,0,0,0.8660254037844387,-0.49999999999999983,15,121.57645000000001,108.41556646116595,29.70740989921869,0.1470548924296258,4.695153169273071,3.4245039902647525,0.13719769439497856,456.43988197660036,284.6089671494067,-130.89965454593352,-600.0765553063096
2021-05-01,225.0,33.9,18.3,57.0,0.057,2021,5,2,2021 - Q2,0.07,5.0,7.7,82.9,14.5,0,0,0.49999999999999994,-0.8660254037844387,16,52.257000000000005,44.74155664611659,27.212222969765605,0.1893494031866632,3.8230072205060677,3.3397553226808436,0.1734064376063509,371.6541083139247,277.5655439801202,-165.44624076090224,-600.0765553063096
2021-06-01,439.2,140.7,19.8,27.9,0.027899999999999998,2021,6,2,2021 - Q2,0.07,5.4,7.6,85.5,14.5,0,0,1.2246467991473532e-16,-1.0,17,160.5279,145.17415566461165,27.96366689092968,0.1983144628679969,4.984798757849476,3.3660421786639225,0.18091595512193756,484.5978128253881,279.7502326101285,-172.61103498672202,-600.0765553063096
2021-07-01,203.4,34.6,10.25,9.15,0.00915,2021,7,3,2021 - Q3,0.027,5.4,7.3,81.2,14.1,0,0,-0.4999999999999998,-0.8660254037844388,18,44.85915,49.11741556646117,18.639100067278903,0.1876330165811972,3.914368563783371,2.977522480454842,0.17196226461667713,380.5358123263994,247.46053741957422,-164.06836231850923,-600.0765553063096
2021-08-01,262.8,73.65,11.95,9.55,0.009550000000000001,2021,8,3,2021 - Q3,0.027,5.3,6.8,70.3,14.1,0,0,-0.8660254037844384,-0.5000000000000004,19,85.60955000000001,78.56174155664613,17.54173002018367,0.17841971492307748,4.376533343598457,2.9200238686313518,0.1641743162733452,425.46521717160914,242.68185397516012,-156.63791859087004,-600.0765553063096
2021-09-01,324.0,109.2,13.85,26.7,0.026699999999999998,2021,9,3,2021 - Q3,0.027,5.4,6.4,72.8,14.1,0,0,-1.0,-1.8369701987210297e-16,20,123.0767,117.05617415566462,19.112519006055102,0.18727774343076975,4.771160563355431,3.0013424573052574,0.1716630759826791,463.82894996512624,249.44020484825646,-163.78290789445992,-600.0765553063096
2021-10-01,225.0,118.7,2.55,11.75,0.01175,2021,10,4,2021 - Q4,0.07,6.2,6.1,71.7,14.1,0,0,-0.8660254037844386,0.5000000000000001,21,121.26175,130.40561741556647,8.283755701816531,0.1802999690876928,4.878288855635717,2.228266174172882,0.16576861726267395,474.2434398277305,185.19018700757135,-158.15903342932035,-600.0765553063096
2021-11-01,100.8,6.6,7.95,24.8,0.0248,2021,11,4,2021 - Q4,0.07,6.8,5.9,67.4,14.1,0,0,-0.5000000000000004,0.8660254037844384,22,14.574800000000002,19.640561741556645,10.43512671054496,0.18706997217892352,3.027258156403699,2.436689908353007,0.171488062650798,294.2952670137356,202.51218864140267,-163.61592852366803,-600.0765553063096
2021-12-01,279.0,114.15,8.45,13.1,0.013099999999999999,2021,12,4,2021 - Q4,0.07,7.0,5.8,70.6,14.1,0,0,-2.4492935982947064e-16,1.0,23,122.6131,116.11405617415566,11.580538013163487,0.18146297496103117,4.763148299046048,2.532151017699887,0.16675347983770433,463.05003672334453,210.4459179672814,-159.09868603365314,-600.0765553063096
2022-01-01,174.6,31.15,6.3,9.15,0.00915,2022,1,1,2022 - Q1,-0.016,7.5,5.8,67.2,14.7,0,0,0.49999999999999994,0.8660254037844387,24,37.459149999999994,42.76140561741556,9.774161403949046,0.17246667746492805,3.77875227865397,2.3771508050212966,0.15910980086188342,367.3518588009487,197.5639208769578,-151.80588900956852,-600.0765553063096
2022-02-01,216.0,131.45,1.75,9.75,0.00975,2022,2,1,2022 - Q1,-0.016,7.9,5.3,62.8,14.7,0,0,0.8660254037844386,0.5000000000000001,25,133.20974999999999,135.72614056174154,4.682248421184713,0.16497000971843526,4.917979951211145,1.7373470032057192,0.15269534395535725,478.1020144741409,144.39011826768788,-145.68588679767433,-600.0765553063096
2022-03-01,270.0,71.45,14.65,6.3,0.0063,2022,3,1,2022 - Q1,-0.016,8.5,4.9,59.4,14.7,0,0,1.0,6.123233995736766e-17,26,86.1063,85.02261405617416,16.054674526355413,0.15477300874659172,4.454610215828687,2.8364243319216054,0.14390379543562826,433.05546972803126,235.73393454952372,-137.2979130111523,-600.0765553063096
2022-04-01,286.2,120.05,8.35,11.45,0.01145,2022,4,2,2022 - Q2,-0.006,8.3,4.6,65.2,14.6,0,0,0.8660254037844387,-0.49999999999999983,27,128.41145,128.5522614056174,13.166402357906623,0.15074570787193253,4.864084362707696,2.6508731299992716,0.14041017385549445,472.86254833349045,220.31285865573753,-133.9646656124229,-600.0765553063096
2022-05-01,340.2,124.4,13.55,11.45,0.01145,2022,5,2,2022 - Q2,-0.006,8.6,4.3,58.4,14.6,0,0,0.49999999999999994,-0.8660254037844387,28,137.96145,137.25522614056175,17.499920707371988,0.14712113708473928,4.929101441789675,2.9177664459870933,0.13725544467593317,479.1831915229088,242.49424060720128,-130.95475380879085,-600.0765553063096
2022-06-01,189.0,35.3,8.0,20.4,0.020399999999999998,2022,6,2,2022 - Q2,-0.006,9.1,4.2,50.0,14.6,0,0,1.2246467991473532e-16,-1.0,29,43.3204,49.02552261405617,13.249976212211596,0.15280902337626537,3.9125333274728216,2.6567552373947816,0.14220159302877466,380.3573996069873,220.80171792273126,-135.67384995377378,-600.0765553063096
2022-07-01,385.2,146.45,14.15,21.6,0.0216,2022,7,3,2022 - Q3,0.032,8.5,4.2,51.5,14.7,0,0,-0.4999999999999998,-0.8660254037844388,30,160.6216,151.3525522614056,18.12499286366348,0.15912812103863885,5.026197257909744,2.950996006570751,0.1476681027162209,488.622373004847,245.2559342549322,-140.88942032333608,-600.0765553063096
2022-08-01,214.20000000000002,56.45,8.7,19.3,0.0193,2022,8,3,2022 - Q3,0.032,8.3,4.2,58.2,14.7,0,0,-0.8660254037844384,-0.5000000000000004,31,65.1693,71.58525522614056,14.137497859099042,0.16251530893477498,4.284761805145283,2.7171749674489143,0.15058602736881463,416.5436359856086,225.8231741730489,-143.67339807675202,-600.0765553063096
2022-09-01,172.79999999999998,48.6,0.75,15.0,0.015,2022,9,3,2022 - Q3,0.032,8.2,3.8,58.6,14.7,0,0,-1.0,-1.8369701987210297e-16,32,49.365,55.75852552261406,4.991249357729712,0.1612637780412975,4.03880587455157,1.790299964290315,0.1495088759119487,392.6330005102124,148.7910147492319,-142.64569309804097,-600.0765553063096
2022-10-01,313.2,132.8,10.0,0.15,0.00015,2022,10,4,2022 - Q4,0.026,7.7,4.0,59.9,15.1,0,0,-0.8660254037844386,0.5000000000000001,33,142.80015,138.37585255226142,11.497374807318913,0.14528740023716777,4.937174259162573,2.5255186068374433,0.13565561008377092,479.9679914380678,209.89470132083073,-129.42835938672584,-600.0765553063096
2022-11-01,171.0,47.85,0.7,3.7,0.0037,2022,11,4,2022 - Q4,0.026,7.1,4.1,56.8,15.1,0,0,-0.5000000000000004,0.8660254037844384,34,48.553700000000006,61.687585255226146,4.149212442195673,0.13445866021345101,4.138163425724837,1.638843779136101,0.12615558580210243,402.29205683830054,136.20356017254804,-120.36443231322615,-600.0765553063096
2022-12-01,230.4,145.35,2.05,4.25,0.00425,2022,12,4,2022 - Q4,0.026,6.5,4.1,59.7,15.1,0,0,-2.4492935982947064e-16,1.0,35,147.40425000000002,151.5187585255226,3.294763732658702,0.12526279419210593,5.027287595207498,1.4573965440648442,0.11801660321478498,488.72837027683346,121.12356309485342,-112.5990685166009,-600.0765553063096
